act_name,act_year
Judiciary,1789.0
Naturalization,1790.0
Copyright,1790.0
Indian Intercourse,1790.0
Funding,1790.0
First Militia,1792.0
Second Militia,1792.0
Coinage,1792.0
Apportionment,1792.0
Judiciary,1793.0
Naval,1794.0
Naturalization,1795.0
An Act To Establish A Uniform Rule Of Naturalization ( Naturalization,1798.0
Judiciary,1801.0
District Of Columbia Organic,1801.0
Judiciary,1802.0
Enabling,1802.0
Embargo,1807.0
Flag,1818.0
Navigation,1818.0
Land,1820.0
Bankruptcy,1841.0
Preemption,1841.0
Coinage,1849.0
Pacific Telegraph,1860.0
Confiscation,1861.0
Revenue,1861.0
Revenue,1862.0
Militia,1862.0
Legal Tender,1862.0
Coinage,1864.0
Civil Rights,1866.0
Expatriation,1868.0
Judiciary,1869.0
Enforcement,1870.0
Naturalization,1870.0
District Of Columbia Organic,1871.0
Ku Klux Act ( Civil Rights,1871.0
General Mining,1872.0
Coinage,1873.0
Civil Rights,1875.0
Page,1875.0
River And Harbors,1882.0
Hatch,1887.0
Enabling,1889.0
Forest Reserve,1891.0
Land Revision,1891.0
Immigration,1891.0
Merchant Marine,1891.0
Judiciary,1891.0
Printing,1895.0
Maguire,1895.0
War Revenue,1898.0
War Revenue,1898.0
Bankruptcy,1898.0
Rivers And Harbors,1899.0
Immigration,1903.0
Militia,1903.0
Transfer,1905.0
Expatriation,1907.0
Apportionment,1911.0
Revenue,1913.0
Smith Lever,1914.0
Revenue,1916.0
River And Harbor,1917.0
Repatriation,1917.0
War Revenue,1917.0
Obstruction Of Interstate Commerce,1917.0
Priority Of Shipments,1917.0
Espionage,1917.0
Explosives,1917.0
Second Army Appropriations,1917.0
Immigration,1917.0
Search Warrant,1917.0
Flood Control,1917.0
First Army Appropriations,1917.0
Aircraft Board,1917.0
Selective Service,1917.0
Esch Car Service,1917.0
Emergency Shipping Fund,1917.0
Revenue,1918.0
Federal Control,1918.0
Sedition,1918.0
Migratory Bird Treaty,1918.0
Army Appropriations,1918.0
Public Health And Research,1918.0
Charter Rate And Requisition,1918.0
River And Harbor,1918.0
Immigration,1918.0
Corrupt Practices,1918.0
National Bank Consolidation,1918.0
War Risk Insurance,1919.0
Hospitalization,1919.0
Acadia National Park,1919.0
Grand Canyon Park,1919.0
Child Labor,1919.0
River And Harbors,1919.0
Revenue,1921.0
Pueblo Lands,1924.0
Inland Waterways,1924.0
Oil Pollution,1924.0
Indian Citizenship,1924.0
Indian Oil Leasing,1924.0
Immigration,1924.0
Revenue,1924.0
Airmail,1925.0
Home Port,1925.0
Classification,1925.0
Judiciary,1925.0
River And Harbors,1925.0
Helium,1925.0
Probation,1925.0
Revenue,1926.0
Merchant Marine,1928.0
Flood Control,1928.0
Revenue,1928.0
Reapportionment,1929.0
Revenue,1932.0
Glass Steagall Act ( Banking,1933.0
Communications,1934.0
Public Utility Holding Company,1935.0
Revenue,1935.0
Neutrality,1935.0
Neutrality,1936.0
Flood Control,1936.0
Naval,1938.0
Reorganization,1939.0
Hatch,1939.0
Neutrality,1939.0
"Act Of August 22, 1940, Ch . 686, Pub . L . 76 768, 54 Stat . 789 ( Including Investment Company",1940.0
Selective Training And Service,1940.0
Flood Control,1941.0
Magnuson Act ( Chinese Exclusion Repeal,1943.0
Servicemen' S Readjustment,1944.0
Export Import Bank,1945.0
Luce Celler,1946.0
Lanham Trademark,1946.0
United States Atomic Energy,1946.0
Legislative Reorganization,1946.0
Federal Regulation Of Lobbying,1946.0
Rescission,1946.0
National Security,1947.0
Greek Turkish Assistance,1948.0
Commodity Credit Corporation Charter,1948.0
War Claims,1948.0
Agricultural,1948.0
Agricultural,1949.0
Defense Production,1950.0
Budget And Accounting Procedures,1950.0
Mccarran Internal Security Act ( Including Subversive Activities Control,1950.0
Federal Civil Defense,1950.0
Wire Fraud,1952.0
Communist Control,1954.0
Fish And Wildlife,1956.0
Federal Aid Highway,1956.0
Civil Rights,1957.0
Transportation,1958.0
Civil Rights,1960.0
Flood Control,1960.0
Foreign Assistance,1961.0
Interstate Wire,1961.0
Mutual Educational And Cultural Exchange,1961.0
Peace Corps,1961.0
Communications Satellite,1962.0
Rivers And Harbors,1962.0
Civil Rights,1964.0
Urban Mass Transportation,1964.0
Economic Opportunity,1964.0
Food Stamp,1964.0
Immigration And Nationality,1965.0
Housing And Urban Development,1965.0
Social Security,1965.0
Public Works And Economic Development,1965.0
Omnibus Crime Control And Safe Streets,1968.0
Civil Rights,1968.0
Architectural Barriers,1968.0
Gun Control,1968.0
Tax Reform,1969.0
Housing And Urban Development,1970.0
Family Planning Services And Population Research,1970.0
Urban Mass Transportation,1970.0
Horse Protection,1970.0
"Marine Protection, Research, And Sanctuaries",1972.0
Federal Aid Highway,1973.0
Domestic Volunteer Services,1973.0
Health Maintenance Organization,1973.0
Federal Noxious Weed,1974.0
Trade,1974.0
Privacy,1974.0
Congressional Budget And Impoundment Control,1974.0
Disaster Relief,1974.0
Juvenile Justice And Delinquency Prevention,1974.0
Water Resources Development,1974.0
Copyright,1976.0
Water Resources Development,1976.0
Department Of Energy Organization,1977.0
Unlawful Corporate Payments,1977.0
Nuclear Non Proliferation,1978.0
Bankruptcy,1978.0
Panama Canal,1979.0
Susan B . Anthony Dollar Coin,1979.0
Paperwork Reduction,1980.0
Fish And Wildlife Conservation,1980.0
Omnibus Budget Reconciliation,1981.0
Commercial Space Launch,1984.0
Balanced Budget And Emergency Deficit Control,1985.0
Gold Bullion Coin,1985.0
Consolidated Omnibus Budget Reconciliation,1985.0
Water Resources Development,1986.0
Immigration Reform And Control,1986.0
Tax Reform,1986.0
Electronic Communications Privacy,1986.0
Anti Drug Abuse,1986.0
Malcolm Baldrige National Quality Improvement,1987.0
Balanced Budget And Emergency Deficit Control Reaffirmation,1987.0
Omnibus Budget Reconciliation,1987.0
